Country,Stadium,Players,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
AUS,Brisbane Cricket Ground,B Kumar,1,1,0,5,5,5,5,100,0,0,0,0,0
AUS,Brisbane Cricket Ground,PA Patel,1,1,0,4,4,4,7,57.14,0,0,0,0,0
AUS,Brisbane Cricket Ground,Mohammed Shami,1,1,0,1,1,1,7,14.28,0,0,0,0,0
AUS,Brisbane Cricket Ground,AR Patel,1,1,0,0,0,0,1,0,0,0,1,0,0
AUS,Brisbane Cricket Ground,V Sehwag,1,1,0,0,0,0,2,0,0,0,1,0,0
AUS,Brisbane Cricket Ground,I Sharma,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,Brisbane Cricket Ground,BB Sran,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,Melbourne Cricket Ground,RG Sharma,6,6,0,311,138,51.83,320,97.18,2,0,1,26,7
AUS,Melbourne Cricket Ground,S Dhawan,5,5,0,260,137,52,337,77.15,1,1,0,28,2
AUS,Melbourne Cricket Ground,V Kohli,6,6,0,252,117,42,297,84.84,1,0,0,16,2
AUS,Melbourne Cricket Ground,MS Dhoni,6,6,1,182,87,36.4,214,85.04,0,1,0,14,2
AUS,Melbourne Cricket Ground,AM Rahane,4,4,0,160,79,40,174,91.95,0,2,0,14,4
AUS,Melbourne Cricket Ground,SK Raina,4,4,0,126,65,31.5,134,94.02,0,2,0,14,1
AUS,Melbourne Cricket Ground,KM Jadhav,1,1,1,61,61,NaN,57,107.01,0,1,0,7,0
AUS,Melbourne Cricket Ground,RA Jadeja,5,4,2,50,23,25,44,113.63,0,0,0,4,0
AUS,Melbourne Cricket Ground,R Ashwin,4,4,3,27,14,27,31,87.09,0,0,0,0,0
AUS,Melbourne Cricket Ground,P Kumar,1,1,0,15,15,15,17,88.23,0,0,0,2,0
AUS,Melbourne Cricket Ground,R Vinay Kumar,1,1,1,12,12,NaN,15,80,0,0,0,1,0
AUS,Melbourne Cricket Ground,Gurkeerat Singh,1,1,0,8,8,8,7,114.28,0,0,0,1,0
AUS,Melbourne Cricket Ground,Mohammed Shami,4,2,2,6,4,NaN,8,75,0,0,0,1,0
AUS,Melbourne Cricket Ground,G Gambhir,1,1,0,5,5,5,8,62.5,0,0,0,0,0
AUS,Melbourne Cricket Ground,R Dhawan,1,1,1,3,3,NaN,5,60,0,0,0,0,0
AUS,Melbourne Cricket Ground,SR Tendulkar,1,1,0,2,2,2,6,33.33,0,0,0,0,0
AUS,Melbourne Cricket Ground,R Sharma,1,1,0,1,1,1,2,50,0,0,0,0,0
AUS,Melbourne Cricket Ground,B Kumar,2,1,0,0,0,0,1,0,0,0,1,0,0
AUS,Melbourne Cricket Ground,AR Patel,1,1,0,0,0,0,2,0,0,0,1,0,0
AUS,Melbourne Cricket Ground,YS Chahal,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,Melbourne Cricket Ground,KD Karthik,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,Melbourne Cricket Ground,V Shankar,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,Melbourne Cricket Ground,I Sharma,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,Melbourne Cricket Ground,MM Sharma,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,Melbourne Cricket Ground,BB Sran,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,Melbourne Cricket Ground,UT Yadav,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,Sydney Cricket Ground,RG Sharma,3,3,0,266,133,88.66,285,93.33,1,1,0,20,9
AUS,Sydney Cricket Ground,S Dhawan,6,6,0,235,78,39.16,220,106.81,0,2,1,28,4
AUS,Sydney Cricket Ground,MS Dhoni,5,4,0,164,65,41,252,65.07,0,2,0,7,4
AUS,Sydney Cricket Ground,V Kohli,7,7,1,146,89,24.33,176,82.95,0,1,0,12,3
AUS,Sydney Cricket Ground,HH Pandya,2,2,0,118,90,59,107,110.28,0,1,0,8,5
AUS,Sydney Cricket Ground,MK Pandey,1,1,1,104,104,NaN,81,128.39,1,0,0,8,1
AUS,Sydney Cricket Ground,KL Rahul,2,2,0,88,76,44,81,108.64,0,1,0,5,5
AUS,Sydney Cricket Ground,RA Jadeja,7,5,0,81,25,16.2,95,85.26,0,0,0,4,3
AUS,Sydney Cricket Ground,AM Rahane,2,2,1,72,44,72,118,61.01,0,0,0,4,0
AUS,Sydney Cricket Ground,MA Agarwal,2,2,0,50,28,25,44,113.63,0,0,0,6,1
AUS,Sydney Cricket Ground,SS Iyer,2,2,0,40,38,20,38,105.26,0,0,0,5,0
AUS,Sydney Cricket Ground,NA Saini,2,2,2,39,29,NaN,45,86.66,0,0,0,2,1
AUS,Sydney Cricket Ground,R Ashwin,2,2,0,31,26,15.5,50,62,0,0,0,2,0
AUS,Sydney Cricket Ground,B Kumar,1,1,1,29,29,NaN,23,126.08,0,0,0,4,0
AUS,Sydney Cricket Ground,G Gambhir,1,1,0,23,23,23,48,47.91,0,0,0,3,0
AUS,Sydney Cricket Ground,AT Rayudu,2,2,0,23,23,11.5,26,88.46,0,0,1,2,1
AUS,Sydney Cricket Ground,IK Pathan,1,1,0,22,22,22,22,100,0,0,0,1,2
AUS,Sydney Cricket Ground,Mohammed Shami,5,4,1,16,13,5.33,17,94.11,0,0,0,1,1
AUS,Sydney Cricket Ground,SK Raina,3,2,0,15,8,7.5,18,83.33,0,0,0,2,0
AUS,Sydney Cricket Ground,SR Tendulkar,1,1,0,14,14,14,15,93.33,0,0,0,2,0
AUS,Sydney Cricket Ground,KD Karthik,1,1,0,12,12,12,21,57.14,0,0,0,0,0
AUS,Sydney Cricket Ground,V Sehwag,1,1,0,5,5,5,11,45.45,0,0,0,1,0
AUS,Sydney Cricket Ground,YS Chahal,2,1,1,4,4,NaN,6,66.66,0,0,0,0,0
AUS,Sydney Cricket Ground,Kuldeep Yadav,1,1,0,3,3,3,6,50,0,0,0,0,0
AUS,Sydney Cricket Ground,P Kumar,1,1,0,1,1,1,4,25,0,0,0,0,0
AUS,Sydney Cricket Ground,JJ Bumrah,3,2,1,0,0,0,5,0,0,0,1,0,0
AUS,Sydney Cricket Ground,Gurkeerat Singh,1,1,1,0,0,NaN,0,NaN,0,0,0,0,0
AUS,Sydney Cricket Ground,MM Sharma,1,1,0,0,0,0,1,0,0,0,1,0,0
AUS,Sydney Cricket Ground,UT Yadav,3,2,1,0,0,0,8,0,0,0,1,0,0
AUS,Sydney Cricket Ground,KK Ahmed,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,Sydney Cricket Ground,STR Binny,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,Sydney Cricket Ground,R Dhawan,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,Sydney Cricket Ground,AR Patel,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,Sydney Cricket Ground,I Sharma,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,W A C A Ground,RG Sharma,4,4,2,245,171,122.5,253,96.83,1,1,0,25,8
AUS,W A C A Ground,V Kohli,5,5,1,242,91,60.5,287,84.32,0,2,0,27,2
AUS,W A C A Ground,AM Rahane,4,2,0,87,73,43.5,135,64.44,0,1,0,5,1
AUS,W A C A Ground,MS Dhoni,5,4,1,84,45,28,106,79.24,0,0,0,8,2
AUS,W A C A Ground,S Dhawan,4,4,0,70,38,17.5,118,59.32,0,0,0,9,0
AUS,W A C A Ground,RA Jadeja,5,4,2,52,24,26,65,80,0,0,0,4,0
AUS,W A C A Ground,SR Tendulkar,1,1,0,48,48,48,63,76.19,0,0,0,5,0
AUS,W A C A Ground,SK Raina,4,3,0,47,24,15.66,57,82.45,0,0,0,5,0
AUS,W A C A Ground,R Ashwin,4,2,2,46,30,NaN,70,65.71,0,0,0,3,0
AUS,W A C A Ground,Mohammed Shami,2,1,0,25,25,25,18,138.88,0,0,0,3,1
AUS,W A C A Ground,AT Rayudu,1,1,0,12,12,12,17,70.58,0,0,0,1,0
AUS,W A C A Ground,V Sehwag,1,1,0,10,10,10,8,125,0,0,0,2,0
AUS,W A C A Ground,STR Binny,1,1,0,7,7,7,12,58.33,0,0,0,1,0
AUS,W A C A Ground,MM Sharma,3,1,1,7,7,NaN,6,116.66,0,0,0,1,0
AUS,W A C A Ground,AR Patel,1,1,0,1,1,1,5,20,0,0,0,0,0
AUS,W A C A Ground,Z Khan,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,W A C A Ground,B Kumar,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,W A C A Ground,P Kumar,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,W A C A Ground,MK Pandey,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,W A C A Ground,BB Sran,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,W A C A Ground,R Vinay Kumar,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,W A C A Ground,UT Yadav,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BDESH,Khan Shaheb Osman Ali Stadium,V Kohli,2,2,0,184,136,92,173,106.35,1,0,0,20,3
BDESH,Khan Shaheb Osman Ali Stadium,S Dhawan,2,2,0,122,94,61,158,77.21,0,1,0,12,1
BDESH,Khan Shaheb Osman Ali Stadium,AM Rahane,2,2,0,95,73,47.5,110,86.36,0,1,0,8,1
BDESH,Khan Shaheb Osman Ali Stadium,RG Sharma,2,2,0,34,21,17,57,59.64,0,0,0,2,1
BDESH,Khan Shaheb Osman Ali Stadium,AT Rayudu,2,2,1,27,18,27,38,71.05,0,0,0,1,0
BDESH,Khan Shaheb Osman Ali Stadium,RA Jadeja,2,1,1,22,22,NaN,27,81.48,0,0,0,0,1
BDESH,Khan Shaheb Osman Ali Stadium,R Ashwin,2,1,0,18,18,18,16,112.5,0,0,0,2,0
BDESH,Khan Shaheb Osman Ali Stadium,Mohammed Shami,2,1,1,14,14,NaN,7,200,0,0,0,0,2
BDESH,Khan Shaheb Osman Ali Stadium,KD Karthik,2,2,1,6,4,6,5,120,0,0,0,1,0
BDESH,Khan Shaheb Osman Ali Stadium,STR Binny,1,1,0,0,0,0,4,0,0,0,1,0,0
BDESH,Khan Shaheb Osman Ali Stadium,B Kumar,2,1,0,0,0,0,0,NaN,0,0,1,0,0
BDESH,Khan Shaheb Osman Ali Stadium,VR Aaron,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BDESH,Shere Bangla National Stadium,V Kohli,8,7,0,411,183,58.71,427,96.25,2,1,0,38,2
BDESH,Shere Bangla National Stadium,SK Raina,9,9,3,272,51,45.33,236,115.25,0,1,0,25,8
BDESH,Shere Bangla National Stadium,RG Sharma,8,7,1,238,68,39.66,270,88.14,0,3,1,19,5
BDESH,Shere Bangla National Stadium,S Dhawan,5,5,0,228,75,45.6,262,87.02,0,3,0,26,1
BDESH,Shere Bangla National Stadium,MS Dhoni,6,6,3,192,69,64,197,97.46,0,1,0,18,2
BDESH,Shere Bangla National Stadium,SR Tendulkar,3,3,0,172,114,57.33,214,80.37,1,1,0,18,2
BDESH,Shere Bangla National Stadium,AM Rahane,6,6,0,155,64,25.83,230,67.39,0,2,1,14,2
BDESH,Shere Bangla National Stadium,AT Rayudu,7,6,1,120,58,24,146,82.19,0,1,1,9,1
BDESH,Shere Bangla National Stadium,G Gambhir,3,3,0,111,100,37,136,81.61,1,0,1,8,0
BDESH,Shere Bangla National Stadium,RA Jadeja,6,4,2,107,52,53.5,119,89.91,0,1,0,7,2
BDESH,Shere Bangla National Stadium,RV Uthappa,3,3,0,69,50,23,81,85.18,0,1,0,6,3
BDESH,Shere Bangla National Stadium,STR Binny,3,3,2,45,25,45,55,81.81,0,0,0,6,0
BDESH,Shere Bangla National Stadium,KD Karthik,2,2,1,44,23,44,73,60.27,0,0,0,4,0
BDESH,Shere Bangla National Stadium,CA Pujara,3,3,0,38,27,12.66,102,37.25,0,0,1,2,0
BDESH,Shere Bangla National Stadium,B Kumar,4,2,1,28,25,28,31,90.32,0,0,0,2,1
BDESH,Shere Bangla National Stadium,WP Saha,3,2,0,21,16,10.5,33,63.63,0,0,0,3,0
BDESH,Shere Bangla National Stadium,AR Patel,5,4,1,19,10,6.33,14,135.71,0,0,1,2,1
BDESH,Shere Bangla National Stadium,UT Yadav,5,3,1,19,17,9.5,26,73.07,0,0,0,2,1
BDESH,Shere Bangla National Stadium,MM Sharma,4,3,1,16,11,8,42,38.09,0,0,0,2,0
BDESH,Shere Bangla National Stadium,R Ashwin,8,3,0,13,9,4.33,18,72.22,0,0,1,2,0
BDESH,Shere Bangla National Stadium,A Mishra,4,2,1,5,4,5,17,29.41,0,0,0,0,0
BDESH,Shere Bangla National Stadium,DS Kulkarni,2,1,1,2,2,NaN,2,100,0,0,0,0,0
BDESH,Shere Bangla National Stadium,MK Tiwary,1,1,0,2,2,2,6,33.33,0,0,0,0,0
BDESH,Shere Bangla National Stadium,Mohammed Shami,2,1,0,0,0,0,3,0,0,0,1,0,0
BDESH,Shere Bangla National Stadium,AB Dinda,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BDESH,Shere Bangla National Stadium,P Kumar,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BDESH,Shere Bangla National Stadium,Parvez Rasool,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BDESH,Shere Bangla National Stadium,IK Pathan,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BDESH,Shere Bangla National Stadium,YK Pathan,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BDESH,Shere Bangla National Stadium,R Vinay Kumar,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ENG,Sophia Gardens,V Kohli,4,4,1,196,107,65.33,201,97.51,1,1,1,15,2
ENG,Sophia Gardens,S Dhawan,3,3,0,193,114,64.33,208,92.78,1,1,0,20,2
ENG,Sophia Gardens,RG Sharma,3,3,0,150,65,50,218,68.8,0,2,0,16,2
ENG,Sophia Gardens,SK Raina,4,4,1,131,100,43.66,100,131,1,0,0,13,5
ENG,Sophia Gardens,MS Dhoni,4,3,1,129,52,64.5,103,125.24,0,2,0,14,2
ENG,Sophia Gardens,R Dravid,1,1,0,69,69,69,79,87.34,0,1,0,4,0
ENG,Sophia Gardens,AM Rahane,2,2,0,67,41,33.5,94,71.27,0,0,0,7,0
ENG,Sophia Gardens,RA Jadeja,4,3,2,56,47,56,41,136.58,0,0,1,7,1
ENG,Sophia Gardens,R Ashwin,4,3,2,20,10,20,15,133.33,0,0,0,3,0
ENG,Sophia Gardens,PA Patel,1,1,0,19,19,19,39,48.71,0,0,0,0,0
ENG,Sophia Gardens,KD Karthik,2,1,0,14,14,14,15,93.33,0,0,0,1,1
ENG,Sophia Gardens,B Kumar,3,1,1,0,0,NaN,0,NaN,0,0,0,0,0
ENG,Sophia Gardens,Mohammed Shami,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ENG,Sophia Gardens,MM Patel,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ENG,Sophia Gardens,I Sharma,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ENG,Sophia Gardens,MM Sharma,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ENG,Sophia Gardens,RP Singh,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ENG,Sophia Gardens,R Vinay Kumar,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ENG,Sophia Gardens,UT Yadav,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ENG,Old Trafford,RG Sharma,3,3,0,159,140,53,140,113.57,1,0,0,15,4
ENG,Old Trafford,V Kohli,3,3,0,150,77,50,153,98.03,0,2,0,15,0
ENG,Old Trafford,MS Dhoni,3,3,1,107,56,53.5,135,79.25,0,2,0,4,3
ENG,Old Trafford,KL Rahul,3,3,0,106,57,35.33,149,71.14,0,1,0,9,2
ENG,Old Trafford,HH Pandya,3,3,0,104,46,34.66,119,87.39,0,0,0,9,1
ENG,Old Trafford,RA Jadeja,1,1,0,77,77,77,59,130.5,0,1,0,4,4
ENG,Old Trafford,RR Pant,1,1,0,32,32,32,56,57.14,0,0,0,4,0
ENG,Old Trafford,V Shankar,2,2,1,29,15,29,34,85.29,0,0,0,4,0
ENG,Old Trafford,KM Jadhav,2,2,1,16,9,16,18,88.88,0,0,0,2,0
ENG,Old Trafford,KD Karthik,1,1,0,6,6,6,25,24,0,0,0,1,0
ENG,Old Trafford,YS Chahal,3,1,0,5,5,5,5,100,0,0,0,1,0
ENG,Old Trafford,JJ Bumrah,3,1,1,0,0,NaN,0,NaN,0,0,0,0,0
ENG,Old Trafford,Kuldeep Yadav,2,1,1,0,0,NaN,1,0,0,0,0,0,0
ENG,Old Trafford,B Kumar,2,1,0,0,0,0,1,0,0,0,1,0,0
ENG,Old Trafford,Mohammed Shami,1,1,0,0,0,0,2,0,0,0,1,0,0
ENG,Kennington Oval,S Dhawan,5,5,1,443,125,110.75,449,98.66,3,1,0,57,3
ENG,Kennington Oval,RG Sharma,5,5,0,199,78,39.8,228,87.28,0,3,1,17,5
ENG,Kennington Oval,V Kohli,6,6,1,192,82,38.4,228,84.21,0,2,1,15,3
ENG,Kennington Oval,MS Dhoni,6,4,0,163,69,40.75,185,88.1,0,2,0,15,3
ENG,Kennington Oval,HH Pandya,4,3,0,133,76,44.33,75,177.33,0,1,0,8,10
ENG,Kennington Oval,RA Jadeja,5,3,1,93,78,46.5,115,80.86,0,1,0,10,0
ENG,Kennington Oval,Yuvraj Singh,3,3,1,52,23,26,74,70.27,0,0,0,5,1
ENG,Kennington Oval,KD Karthik,1,1,1,51,51,NaN,54,94.44,0,1,0,8,0
ENG,Kennington Oval,R Ashwin,4,2,1,37,36,37,22,168.18,0,0,0,5,0
ENG,Kennington Oval,KM Jadhav,4,3,2,34,25,34,26,130.76,0,0,0,5,1
ENG,Kennington Oval,SK Raina,2,1,0,21,21,21,36,58.33,0,0,0,1,1
ENG,Kennington Oval,KL Rahul,1,1,1,11,11,NaN,3,366.66,0,0,0,1,1
ENG,Kennington Oval,PA Patel,1,1,0,3,3,3,19,15.78,0,0,0,0,0
ENG,Kennington Oval,R Dravid,1,1,0,2,2,2,11,18.18,0,0,0,0,0
ENG,Kennington Oval,JJ Bumrah,4,1,0,1,1,1,9,11.11,0,0,0,0,0
ENG,Kennington Oval,B Kumar,5,1,1,1,1,NaN,8,12.5,0,0,0,0,0
ENG,Kennington Oval,P Kumar,1,1,1,1,1,NaN,2,50,0,0,0,0,0
ENG,Kennington Oval,AM Rahane,1,1,0,0,0,0,3,0,0,0,1,0,0
ENG,Kennington Oval,YS Chahal,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ENG,Kennington Oval,Kuldeep Yadav,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ENG,Kennington Oval,MM Patel,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ENG,Kennington Oval,I Sharma,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ENG,Kennington Oval,RP Singh,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ENG,Kennington Oval,UT Yadav,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ENG,Headingley,V Kohli,3,3,1,118,71,59,134,88.05,0,1,0,13,0
ENG,Headingley,KL Rahul,1,1,0,111,111,111,118,94.06,1,0,0,11,1
ENG,Headingley,RG Sharma,2,2,0,105,103,52.5,112,93.75,1,0,0,14,2
ENG,Headingley,RA Jadeja,2,1,0,87,87,87,68,127.94,0,1,0,9,2
ENG,Headingley,S Dhawan,2,2,0,75,44,37.5,93,80.64,0,0,0,11,1
ENG,Headingley,MS Dhoni,3,2,0,71,42,35.5,108,65.74,0,0,0,5,1
ENG,Headingley,AT Rayudu,1,1,0,53,53,53,65,81.53,0,1,0,3,2
ENG,Headingley,HH Pandya,2,2,1,28,21,28,25,112,0,0,0,3,0
ENG,Headingley,B Kumar,3,2,0,22,21,11,38,57.89,0,0,0,1,0
ENG,Headingley,SN Thakur,1,1,1,22,22,NaN,13,169.23,0,0,0,0,2
ENG,Headingley,KD Karthik,2,1,0,21,21,21,22,95.45,0,0,0,3,0
ENG,Headingley,SK Raina,2,2,0,19,18,9.5,27,70.37,0,0,0,2,0
ENG,Headingley,R Ashwin,1,1,0,16,16,16,19,84.21,0,0,0,1,0
ENG,Headingley,RR Pant,1,1,0,4,4,4,4,100,0,0,0,1,0
ENG,Headingley,Mohammed Shami,1,1,0,0,0,0,2,0,0,0,1,0,0
ENG,Headingley,AM Rahane,1,1,0,0,0,0,3,0,0,0,1,0,0
ENG,Headingley,UT Yadav,1,1,1,0,0,NaN,2,0,0,0,0,0,0
ENG,Headingley,JJ Bumrah,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ENG,Headingley,YS Chahal,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ENG,Headingley,Kuldeep Yadav,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ENG,Edgbaston,RG Sharma,6,6,1,447,123,89.4,495,90.3,3,1,0,47,8
ENG,Edgbaston,V Kohli,7,7,4,335,96,111.66,313,107.02,0,3,0,36,4
ENG,Edgbaston,S Dhawan,5,5,1,290,97,72.5,245,118.36,0,2,0,31,7
ENG,Edgbaston,AM Rahane,1,1,0,106,106,106,100,106,1,0,0,10,4
ENG,Edgbaston,RR Pant,2,2,0,80,48,40,70,114.28,0,0,0,10,1
ENG,Edgbaston,MS Dhoni,7,3,1,77,42,38.5,68,113.23,0,0,1,8,1
ENG,Edgbaston,KL Rahul,2,2,0,77,77,38.5,101,76.23,0,1,1,6,1
